Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,chat.unread_counts,182,32,3000.0,5297.635007093409,325.5817080000014,36192.643458000006,10.714285714285714,3.096357104858048,0.5444144360189974,3000,4000,4400,4800,16000,16000,16000,16000,36000,36000,36000
GET,community.posts.comments.list,69,0,3100.0,3329.2683707971023,1040.2573749999995,5693.840917000003,353.40579710144925,1.173893627665963,0.0,3100,3500,3900,4500,5000,5400,5600,5700,5700,5700,5700
GET,community.posts.list,1041,300,2500.0,6702.15555575312,77.37608299999721,39251.552167,1467.0518731988473,17.71048212174301,5.103885337678101,2500,3800,16000,16000,16000,16000,16000,37000,39000,39000,39000
GET,friends.requests.incoming,267,45,2900.0,5141.195005925096,950.6232920000004,36010.549333,12.47191011235955,4.542457950533509,0.7655828006517151,2900,3900,4300,4800,16000,16000,16000,16000,36000,36000,36000
GET,users.me,680,273,16000.0,14406.422077197056,52.947165999995605,50293.357375,114.31911764705882,11.568806765403695,4.644535657287071,16000,16000,16000,16000,29000,44000,46000,49000,50000,50000,50000
,Aggregated,2239,650,3500.0,8637.73966122866,52.947165999995605,50293.357375,730.0594015185351,38.09199757020423,11.058418231635885,3500,16000,16000,16000,16000,25000,39000,45000,50000,50000,50000
