Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,chat.unread_counts,246,7,2700.0,3972.0304640853687,57.5606250000007,21949.307624999998,12.630081300813009,4.1845348461851914,0.11907212976949731,2700,4900,5500,5700,7500,14000,20000,21000,22000,22000,22000
GET,community.posts.comments.list,125,1,2500.0,3784.8783599440003,52.86270799999926,21819.089917,320.352,2.1262880315981665,0.01701030425278533,2500,4900,6700,6900,7600,9000,19000,20000,22000,22000,22000
GET,community.posts.list,980,23,1200.0,2663.8531381408143,6.75933299999798,21005.226749999998,2012.6295918367348,16.670098167729623,0.3912369978140626,1300,3100,4100,4400,5400,6400,19000,20000,21000,21000,21000
GET,friends.requests.incoming,366,13,2000.0,3366.6281395901647,19.682124999999218,21400.174709000003,14.467213114754099,6.225771356519431,0.2211339552862093,2000,4100,5100,5600,6400,8300,19000,20000,21000,21000,21000
GET,users.me,530,6,2700.0,4216.053367686792,68.01045899999991,23981.643542,188.8377358490566,9.015461253976225,0.10206182551671199,2700,4800,5600,6200,8000,15000,20000,23000,24000,24000,24000
,Aggregated,2247,50,2100.0,3350.022050956832,6.75933299999798,23981.643542,943.8838451268358,38.222153656008636,0.8505152126392665,2100,4000,4700,5200,6600,9700,19000,20000,24000,24000,24000
