Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,chat.unread_counts,194,3,510.0,1708.986855510309,42.63937500000026,6911.734167000002,12.79896907216495,3.294622365295545,0.050947768535498116,560,2000,2800,3300,5000,6300,6800,6900,6900,6900,6900
GET,community.posts.comments.list,67,2,580.0,1682.8200807910453,13.243500000001518,7413.115667000003,281.6865671641791,1.1378334972927913,0.03396517902366541,580,1900,3200,3600,4400,6800,6900,7400,7400,7400,7400
GET,community.posts.list,602,11,290.0,1158.8268933189368,3.404334000002507,7453.484792000001,2023.3405315614618,10.223518886123289,0.18680848463015975,300,1100,1900,2400,3200,4500,5800,6300,7500,7500,7500
GET,friends.requests.incoming,228,5,750.0,1567.061714754385,40.476333000000864,6861.724082999998,14.671052631578947,3.8720304086978565,0.08491294755916352,770,1800,2800,3300,4700,5600,6300,6600,6900,6900,6900
GET,users.me,280,3,200.0,1024.9430812642852,41.54483299999967,6871.942666000003,188.95357142857142,4.755125063313157,0.050947768535498116,200,410,1500,1900,3500,4800,6400,6800,6900,6900,6900
,Aggregated,1371,24,290.0,1302.8302836455157,3.404334000002507,7453.484792000001,945.0466812545587,23.28313022072264,0.4075821482839849,290,1300,2200,2600,3800,5300,6400,6800,7400,7500,7500
