Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth.csrf,3,0,22,42.00618100000008,19.176834000000476,85.30924999999989,80.0,0.11066656354249745,0.0,22,22,85,85,85,85,85,85,85,85,85
POST,auth.login,3,0,230.0,325.1129583333331,214.5484579999999,535.3449999999999,41.0,0.11066656354249745,0.0,230,230,540,540,540,540,540,540,540,540,540
GET,auth.session,3,0,40,39.70051366666683,21.032791000000106,58.03500000000028,117.0,0.11066656354249745,0.0,40,40,58,58,58,58,58,58,58,58,58
GET,chat.unread_counts,7,0,59,145.03108942857222,51.1104170000003,611.3646250000002,13.0,0.2582219815991607,0.0,59,64,120,120,610,610,610,610,610,610,610
POST,community.posts.comment,1,0,146.21187499999877,146.21187499999877,146.21187499999877,146.21187499999877,249.0,0.03688885451416581,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,community.posts.comments.list,2,0,88.14104200000017,89.41054200000042,88.14104200000017,90.68004200000068,252.0,0.07377770902833163,0.0,91,91,91,91,91,91,91,91,91,91,91
POST,community.posts.like,2,0,167.94387499999885,167.35447899999832,166.76508299999782,167.94387499999885,29.0,0.07377770902833163,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,community.posts.list,8,0,130.0,116.96694800000023,58.01420899999954,148.0129579999998,1431.125,0.2951108361133265,0.0,130,140,150,150,150,150,150,150,150,150,150
GET,friends.requests.incoming,9,0,60,127.75257855555466,45.99987499999969,518.7470410000001,15.0,0.33199969062749235,0.0,60,64,84,220,520,520,520,520,520,520,520
GET,users.me,4,0,62,66.1359787500001,52.73008300000015,77.4429999999997,181.0,0.14755541805666325,0.0,72,72,77,77,77,77,77,77,77,77,77
,Aggregated,42,0,72,124.89217161904753,19.176834000000476,611.3646250000002,331.5238095238095,1.5493318895949642,0.0,77,120,150,150,220,520,610,610,610,610,610
